,num_observations,rel_error,seed,signal_dimension,sparsity
349,45,0.049495161121967376,0,100,5
350,48,0.052970388222775604,0,100,5
351,52,0.04952898651017057,0,100,5
352,57,0.050993563582825724,0,100,5
353,62,0.05193268880370337,0,100,5
354,67,0.05102041162298258,0,100,5
355,72,0.051691640047449916,0,100,5
356,78,0.048969367345971224,0,100,5
357,85,0.050857217142694054,0,100,5
358,92,0.05047927051983662,0,100,5
359,100,0.05085373413359912,0,100,5
360,10,1.1030893394303372,0,100,6
361,10,1.1030893394303372,0,100,6
362,11,1.130732028995105,0,100,6
363,12,0.9997649466387287,0,100,6
364,13,0.8306375974095245,0,100,6
365,14,0.7369388670010841,0,100,6
366,16,0.8134972478803384,0,100,6
367,17,0.7813776930305769,0,100,6
368,18,0.7505530701094569,0,100,6
369,20,0.3694905485437686,0,100,6
370,22,0.3057630712377051,0,100,6
371,23,0.3187762538578115,0,100,6
372,25,0.1418588822544395,0,100,6
373,28,0.08532619748748442,0,100,6
374,30,0.0799894189343722,0,100,6
375,32,0.07791195588086429,0,100,6
376,35,0.08058718993741883,0,100,6
377,38,0.0865064121420767,0,100,6
378,41,0.06982609531254995,0,100,6
379,45,0.06721956929458638,0,100,6
380,48,0.07019848797455013,0,100,6
381,52,0.06502365863899018,0,100,6
382,57,0.06615851831328264,0,100,6
383,62,0.06792811575001574,0,100,6
384,67,0.0679760922009181,0,100,6
385,72,0.06821724864236768,0,100,6
386,78,0.06395784683150588,0,100,6
387,85,0.06624771463433883,0,100,6
388,92,0.06270598105742341,0,100,6
389,100,0.06185483491299289,0,100,6
390,10,1.1733549778835126,0,100,7
391,10,1.1733549778835126,0,100,7
392,11,1.1435756073103167,0,100,7
393,12,1.1637540357183005,0,100,7
394,13,0.832579126895818,0,100,7
395,14,0.8325370448484475,0,100,7
396,16,0.7469947328377441,0,100,7
397,17,0.7457434810139044,0,100,7
398,18,0.7031362406894934,0,100,7
399,20,0.7616184513003986,0,100,7
400,22,0.6650319115755077,0,100,7
401,23,0.6719864351936755,0,100,7
402,25,0.14570434859708833,0,100,7
403,28,0.0842308015300585,0,100,7
404,30,0.07741370944439073,0,100,7
405,32,0.07543869822704961,0,100,7
406,35,0.08069382878492039,0,100,7
407,38,0.08650723739238528,0,100,7
